strategy,budget,static_rsus,mobile_rsus,graph_coverage,traffic_coverage,graph_static_coverage,graph_mobile_coverage,graph_total_coverage,guaranteed_ratio
cluster,5,5,0,0.07563025210084033,0.0949123126234294,0.07563025210084033,0.0,0.07563025210084033,1.0
cluster,10,10,0,0.15726290516206481,0.22124806534503225,0.15726290516206481,0.0,0.15726290516206481,1.0
cluster,15,15,0,0.29411764705882354,0.39289279109896746,0.29411764705882354,0.0,0.29411764705882354,1.0
cluster,20,20,0,0.4561824729891957,0.5515108502693961,0.4561824729891957,0.0,0.4561824729891957,1.0
cluster,25,25,0,0.5270108043217286,0.5968762783208467,0.5270108043217286,0.0,0.5270108043217286,1.0
cluster,30,30,0,0.6230492196878752,0.6081914115461876,0.6230492196878752,0.0,0.6230492196878752,1.0
cluster,35,35,0,0.6662665066026411,0.630897213778627,0.6662665066026411,0.0,0.6662665066026411,1.0
cluster,40,40,0,0.7466986794717887,0.715815306554176,0.7466986794717887,0.0,0.7466986794717887,1.0
cluster,45,45,0,0.7935174069627852,0.818068475890413,0.7935174069627852,0.0,0.7935174069627852,1.0
cluster,50,50,0,0.8187274909963985,0.8324134275065667,0.8187274909963985,0.0,0.8187274909963985,1.0
cluster,55,55,0,0.8955582232893158,0.9334900756513798,0.8955582232893158,0.0,0.8955582232893158,1.0
cluster,60,60,0,0.9027611044417767,0.9385231749444584,0.9027611044417767,0.0,0.9027611044417767,1.0
cluster,65,65,0,0.921968787515006,0.9378680895732757,0.921968787515006,0.0,0.921968787515006,1.0
cluster,70,70,0,0.9327731092436975,0.9623155116894867,0.9327731092436975,0.0,0.9327731092436975,1.0
cluster,75,75,0,0.9495798319327731,0.9657219556196355,0.9495798319327731,0.0,0.9495798319327731,1.0
cluster,80,80,0,0.9567827130852341,0.9730953054086111,0.9567827130852341,0.0,0.9567827130852341,1.0
cluster,85,85,0,0.9675870348139256,0.9785179565367322,0.9675870348139256,0.0,0.9675870348139256,1.0
cluster,90,90,0,0.9735894357743097,0.9895015545935576,0.9735894357743097,0.0,0.9735894357743097,1.0
cluster,95,95,0,0.978391356542617,0.9895015545935576,0.978391356542617,0.0,0.978391356542617,1.0
cluster,100,100,0,0.978391356542617,0.9895015545935576,0.978391356542617,0.0,0.978391356542617,1.0
traffic,5,5,0,0.14645858343337334,0.48021552216161445,0.14645858343337334,0.0,0.14645858343337334,1.0
traffic,10,10,0,0.2665066026410564,0.7238398983365166,0.2665066026410564,0.0,0.2665066026410564,1.0
traffic,15,15,0,0.34213685474189676,0.8503265472252806,0.34213685474189676,0.0,0.34213685474189676,1.0
traffic,20,20,0,0.4249699879951981,0.9183408816610118,0.4249699879951981,0.0,0.4249699879951981,1.0
traffic,25,25,0,0.48619447779111646,0.9646703196380769,0.48619447779111646,0.0,0.48619447779111646,1.0
traffic,30,30,0,0.5234093637454982,0.9864524705876299,0.5234093637454982,0.0,0.5234093637454982,1.0
traffic,35,35,0,0.5666266506602641,0.9988263053766315,0.5666266506602641,0.0,0.5666266506602641,1.0
traffic,40,40,0,0.5942376950780313,1.0,0.5942376950780313,0.0,0.5942376950780313,1.0
traffic,45,45,0,0.5978391356542617,1.0,0.5978391356542617,0.0,0.5978391356542617,1.0
traffic,50,50,0,0.5978391356542617,1.0,0.5978391356542617,0.0,0.5978391356542617,1.0
traffic,55,55,0,0.60984393757503,1.0,0.60984393757503,0.0,0.60984393757503,1.0
traffic,60,60,0,0.6302521008403361,1.0,0.6302521008403361,0.0,0.6302521008403361,1.0
traffic,65,65,0,0.631452581032413,1.0,0.631452581032413,0.0,0.631452581032413,1.0
traffic,70,70,0,0.6338535414165666,1.0,0.6338535414165666,0.0,0.6338535414165666,1.0
traffic,75,75,0,0.6338535414165666,1.0,0.6338535414165666,0.0,0.6338535414165666,1.0
traffic,80,80,0,0.6338535414165666,1.0,0.6338535414165666,0.0,0.6338535414165666,1.0
traffic,85,85,0,0.6338535414165666,1.0,0.6338535414165666,0.0,0.6338535414165666,1.0
traffic,90,90,0,0.6350540216086434,1.0,0.6350540216086434,0.0,0.6350540216086434,1.0
traffic,95,95,0,0.6470588235294118,1.0,0.6470588235294118,0.0,0.6470588235294118,1.0
traffic,100,100,0,0.6470588235294118,1.0,0.6470588235294118,0.0,0.6470588235294118,1.0
hybrid,5,2,3,0.2605042016806723,0.4019219861431373,0.08043217286914765,0.18007202881152462,0.2605042016806723,0.3087557603686636
hybrid,10,3,7,0.44537815126050423,0.6594889949853525,0.10684273709483794,0.3385354141656663,0.44537815126050423,0.2398921832884097
hybrid,15,5,10,0.5822328931572629,0.7670562962006413,0.15006002400960383,0.4477791116446579,0.5822328931572629,0.25773195876288657
hybrid,20,6,14,0.6842737094837935,0.8149063151645078,0.16806722689075632,0.5378151260504201,0.6842737094837935,0.24561403508771928
